primaryTitle,startYear,genres,averageRating,numVotes
A Kiss in the Dark,1925,Comedy,7.4,24
Lady Windermere's Fan,1925,Comedy,7.2,1413
Lazybones,1925,"Action,Comedy,Drama",7.2,589
Lightnin',1925,"Comedy,Drama,Romance",6.0,167
Little Annie Rooney,1925,"Comedy,Drama",6.8,1084
The Little Colonel,1935,"Comedy,Family,Musical",7.0,1935
The Live Wire,1925,"Comedy,Romance",6.8,23
The Lucky Devil,1925,"Action,Comedy,Drama",6.5,50
Madame Behave,1925,"Comedy,Romance",6.6,39
Madame Sans-Gêne,1925,Comedy,5.1,57
The Man on the Box,1925,Comedy,5.8,19
Marriage in Transit,1925,"Action,Adventure,Comedy",6.1,39
Miss Bluebeard,1925,"Comedy,Romance",6.1,70
The Monster,1925,"Comedy,Horror,Mystery",6.2,1414
The Night Club,1925,Comedy,7.0,53
"Oh, Doctor!",1925,Comedy,6.0,95
Paths to Paradise,1925,"Comedy,Crime,Romance",7.1,195
The Perfect Clown,1925,Comedy,6.2,67
The Plastic Age,1925,"Comedy,Romance,Sport",5.9,391
Constable Paulus' Easter Bomb,1925,"Comedy,Drama",5.6,22
Pretty Ladies,1925,"Comedy,Drama",5.2,278
Proud Flesh,1925,"Comedy,Drama,Romance",5.2,215
The Rag Man,1925,"Comedy,Drama,Family",7.0,408
Ranchers and Rascals,1925,"Comedy,Western",7.8,12
Sally,1925,Comedy,6.9,23
